iter	Passed	Remaining
562	7843	6087
563	7853	6070
564	7863	6054
565	7874	6038
566	7886	6022
567	7901	6009
568	7915	5995
569	7928	5981
570	7942	5967
571	7954	5951
572	7969	5938
573	7984	5925
574	7998	5912
575	8013	5898
576	8028	5885
577	8043	5872
578	8056	5857
579	8070	5844
580	8084	5830
581	8110	5825
582	8130	5815
583	8145	5802
584	8160	5789
585	8174	5775
586	8188	5761
587	8203	5747
588	8217	5734
589	8233	5721
590	8246	5706
591	8257	5691
592	8270	5676
593	8283	5661
594	8298	5648
595	8313	5635
596	8326	5620
597	8338	5605
598	8351	5590
599	8364	5576
600	8377	5561
601	8390	5547
602	8405	5533
603	8418	5519
604	8432	5505
605	8443	5489
606	8454	5474
607	8469	5460
608	8483	5446
609	8496	5432
610	8510	5418
611	8525	5405
612	8539	5391
613	8553	5377
614	8569	5364
615	8582	5350
616	8596	5336
617	8606	5320
618	8621	5306
619	8637	5293
620	8651	5280
621	8664	5265
622	8679	5252
623	8694	5238
624	8707	5224
625	8721	5210
626	8736	5197
627	8751	5184
628	8766	5170
629	8780	5157
630	8795	5143
631	8809	5129
632	8823	5115
633	8836	5101
634	8847	5085
635	8857	5069
636	8872	5056
637	8887	5042
638	8901	5029
639	8914	5014
640	8929	5000
641	8943	4987
642	8958	4973
643	8973	4960
644	8988	4947
645	9003	4933
646	9017	4919
647	9028	4904
648	9039	4888
649	9049	4872
650	9060	4857
651	9073	4842
652	9086	4828
653	9100	4814
654	9114	4800
655	9129	4787
656	9141	4772
657	9156	4758
658	9170	4745
659	9184	4731
660	9199	4717
661	9213	4704
662	9228	4690
663	9240	4676
664	9252	4660
665	9266	4647
666	9281	4633
667	9296	4620
668	9312	4607
669	9326	4593
670	9341	4580
671	9354	4565
672	9368	4552
673	9381	4537
674	9392	4522
675	9406	4508
676	9424	4496
677	9437	4481
678	9451	4468
679	9465	4454
680	9480	4440
681	9493	4426
682	9508	4413
683	9523	4399
684	9537	4386
685	9551	4372
686	9566	4358
687	9579	4343
688	9594	4330
689	9608	4316
690	9622	4302
691	9634	4288
692	9648	4274
693	9663	4260
694	9677	4246
695	9691	4233
696	9702	4217
697	9716	4203
698	9731	4190
699	9745	4176
700	9760	4163
701	9774	4149
702	9788	4135
703	9801	4121
704	9815	4107
705	9827	4092
706	9838	4077
707	9853	4063
708	9868	4050
709	9881	4036
710	9895	4022
711	9908	4007
712	9919	3992
713	9934	3979
714	9949	3966
715	9964	3952
716	9979	3938
717	9994	3925
718	10008	3911
719	10020	3896
720	10032	3882
721	10046	3868
722	10059	3854
723	10074	3840
724	10089	3827
725	10104	3813
726	10117	3799
727	10129	3784
728	10147	3772
729	10161	3758
730	10176	3744
731	10190	3730
732	10205	3717
733	10217	3702
734	10228	3687
735	10242	3673
736	10257	3660
737	10269	3645
738	10284	3632
739	10299	3618
740	10314	3605
741	10329	3591
742	10342	3577
743	10355	3563
744	10368	3548
745	10383	3535
746	10396	3521
747	10406	3505
748	10417	3491
749	10431	3477
750	10444	3462
751	10455	3448
752	10470	3434
753	10485	3421
754	10500	3407
755	10513	3393
756	10528	3379
757	10543	3366
758	10557	3352
759	10571	3338
760	10586	3324
761	10601	3311
762	10613	3296
763	10625	3282
764	10640	3268
765	10654	3254
766	10667	3240
767	10682	3227
768	10697	3213
769	10711	3199
770	10723	3185
771	10738	3171
772	10752	3157
773	10767	3143
774	10780	3129
775	10795	3116
776	10813	3103
777	10827	3089
778	10841	3075
779	10855	3061
780	10870	3048
781	10884	3034
782	10896	3019
783	10907	3005
784	10921	2991
785	10934	2977
786	10946	2962
787	10961	2948
788	10975	2935
789	10987	2920
790	10998	2906
791	11013	2892
792	11027	2878
793	11041	2864
794	11056	2850
795	11070	2837
796	11085	2823
797	11098	2809
798	11113	2795
799	11127	2781
800	11141	2767
801	11156	2754
802	11170	2740
803	11186	2727
804	11199	2712
805	11213	2698
806	11227	2685
807	11242	2671
808	11257	2657
809	11271	2644
810	11286	2630
811	11300	2616
812	11314	2602
813	11328	2588
814	11341	2574
815	11356	2560
816	11370	2546
817	11383	2532
818	11394	2518
819	11407	2504
820	11421	2490
821	11436	2476
822	11451	2462
823	11465	2448
824	11479	2435
825	11493	2421
826	11508	2407
827	11522	2393
828	11533	2379
829	11547	2365
830	11562	2351
831	11575	2337
832	11588	2323
833	11602	2309
834	11618	2295
835	11632	2281
836	11646	2268
837	11659	2253
838	11672	2239
839	11687	2226
840	11702	2212
841	11718	2198
842	11732	2185
843	11749	2171
844	11761	2157
845	11773	2143
846	11784	2128
847	11797	2114
848	11811	2100
849	11825	2086
850	11840	2073
851	11855	2059
852	11869	2045
853	11882	2031
854	11897	2017
855	11912	2003
856	11927	1990
857	11941	1976
858	11955	1962
859	11969	1948
860	11981	1934
861	11994	1920
862	12004	1905
863	12017	1891
864	12032	1877
865	12046	1864
866	12061	1850
867	12075	1836
868	12089	1822
869	12104	1808
870	12118	1794
871	12136	1781
872	12148	1767
873	12163	1753
874	12177	1739
875	12189	1725
876	12201	1711
877	12214	1697
878	12229	1683
879	12244	1669
880	12259	1655
881	12273	1642
882	12288	1628
883	12303	1614
884	12318	1600
885	12332	1586
886	12347	1573
887	12364	1559
888	12377	1545
889	12388	1531
890	12400	1517
891	12414	1503
892	12428	1489
893	12441	1475
894	12454	1461
895	12466	1447
896	12481	1433
897	12495	1419
898	12509	1405
899	12524	1391
900	12538	1377
901	12551	1363
902	12564	1349
903	12575	1335
904	12587	1321
905	12601	1307
906	12615	1293
907	12629	1279
908	12643	1265
909	12655	1251
910	12670	1237
911	12686	1224
912	12701	1210
913	12716	1196
914	12731	1182
915	12744	1168
916	12757	1154
917	12767	1140
918	12777	1126
919	12790	1112
920	12805	1098
921	12818	1084
922	12833	1070
923	12847	1056
924	12861	1042
925	12873	1028
926	12887	1014
927	12902	1001
928	12917	987
929	12932	973
930	12946	959
931	12959	945
932	12970	931
933	12985	917
934	13000	903
935	13014	889
936	13027	875
937	13041	861
938	13055	848
939	13070	834
940	13082	820
941	13097	806
942	13112	792
943	13127	778
944	13141	764
945	13156	750
946	13170	737
947	13184	723
948	13195	709
949	13209	695
950	13222	681
951	13236	667
952	13252	653
953	13266	639
954	13281	625
955	13293	611
956	13307	597
957	13320	583
958	13334	570
959	13348	556
960	13362	542
961	13374	528
962	13389	514
963	13404	500
964	13416	486
965	13431	472
966	13447	458
967	13464	445
968	13477	431
969	13491	417
970	13505	403
971	13518	389
972	13533	375
973	13545	361
974	13560	347
975	13572	333
976	13587	319
977	13602	305
978	13617	292
979	13631	278
980	13645	264
981	13659	250
982	13674	236
983	13689	222
984	13703	208
985	13718	194
986	13732	180
987	13746	166
988	13757	153
989	13768	139
990	13779	125
991	13793	111
992	13806	97
993	13821	83
994	13835	69
995	13846	55
996	13859	41
997	13871	27
998	13884	13
999	13899	0
