iter	RMSE
237	2905.080836
238	2901.10585
239	2895.228584
240	2889.981635
241	2883.702029
242	2874.632617
243	2868.913257
244	2866.398573
245	2859.649932
246	2852.758042
247	2849.897104
248	2845.676261
249	2839.563831
250	2835.247976
251	2825.83471
252	2820.968542
253	2817.647193
254	2813.572342
255	2804.731256
256	2797.123002
257	2790.420226
258	2787.083179
259	2773.304394
260	2770.47721
261	2766.213398
262	2762.446533
263	2758.249039
264	2754.942584
265	2749.825798
266	2745.473674
267	2739.105088
268	2733.769234
269	2731.683743
270	2726.32693
271	2717.15048
272	2711.091682
273	2703.28261
274	2698.355687
275	2695.575736
276	2689.377969
277	2684.085559
278	2679.262246
279	2672.819293
280	2666.084342
281	2661.183786
282	2658.618667
283	2652.209257
284	2642.526257
285	2636.458916
286	2632.782415
287	2629.938684
288	2625.074603
289	2620.0378
290	2617.265824
291	2614.016697
292	2609.282855
293	2605.297895
294	2599.356553
295	2595.593165
296	2589.990387
297	2584.577229
298	2579.826142
299	2577.010715
300	2573.241971
301	2569.096346
302	2567.249706
303	2563.42344
304	2556.708468
305	2549.317546
306	2542.503932
307	2538.547155
308	2534.913949
309	2528.180228
310	2524.162768
311	2521.584805
312	2515.110177
313	2509.01609
314	2507.323548
315	2505.171652
316	2502.203369
317	2497.57286
318	2494.109299
319	2489.42551
320	2484.259613
321	2479.216988
322	2474.513239
323	2469.215946
324	2464.493241
325	2461.219895
326	2457.874319
327	2454.922322
328	2446.547747
329	2442.099288
330	2438.187118
331	2433.671268
332	2430.240621
333	2426.547073
334	2423.671937
335	2418.448468
336	2416.760255
337	2414.986183
338	2413.453496
339	2411.486089
340	2405.361473
341	2404.399099
342	2401.066253
343	2397.192395
344	2390.091689
345	2385.604945
346	2383.093635
347	2379.087521
348	2375.568821
349	2369.803384
350	2366.971454
351	2364.762482
352	2357.094249
353	2355.616901
354	2354.009536
355	2348.799624
356	2345.17479
357	2342.037753
358	2340.593525
359	2334.408837
360	2326.69771
361	2323.621737
362	2321.057011
363	2316.664362
364	2314.388416
365	2306.190099
366	2303.380857
367	2299.009852
368	2295.582294
369	2293.049093
370	2288.424085
371	2285.50131
372	2283.960312
373	2279.631709
374	2274.330399
375	2269.764638
376	2265.150411
377	2260.831716
378	2256.536328
379	2253.206083
380	2250.194074
381	2247.423377
382	2244.148202
383	2240.820798
384	2237.946998
385	2234.135696
386	2229.360848
387	2226.027896
388	2222.517808
389	2219.664444
390	2217.79237
391	2214.249609
392	2210.458693
393	2206.538832
394	2203.682253
395	2201.286844
396	2197.497142
397	2194.432038
398	2192.809216
399	2190.599522
400	2185.975859
401	2182.867593
402	2176.930591
403	2173.00551
404	2168.654007
405	2163.202517
406	2161.655202
407	2158.785884
408	2153.973749
409	2149.126995
410	2147.771772
411	2144.896064
412	2141.427356
413	2139.653743
414	2136.965395
415	2133.046608
416	2131.818329
417	2129.199909
418	2124.455173
419	2121.256688
420	2119.555095
421	2118.517761
422	2115.651461
423	2110.562781
424	2106.475606
425	2103.902359
426	2103.244633
427	2099.828899
428	2094.130073
429	2089.793154
430	2087.287414
431	2081.941947
432	2078.440978
433	2073.971925
434	2070.971623
435	2064.537324
436	2062.561225
437	2060.534255
438	2056.967059
439	2055.182066
440	2052.531128
441	2051.207656
442	2048.249102
443	2041.665455
444	2038.443251
445	2036.310271
446	2031.208463
447	2025.78455
448	2021.578475
449	2015.863008
450	2012.890472
451	2008.419024
452	2004.420283
453	1999.665923
454	1996.105251
455	1990.497074
456	1985.982561
457	1984.937787
458	1981.198961
459	1979.632479
460	1977.57078
461	1974.195178
462	1971.049048
463	1967.218281
464	1962.477794
465	1958.340057
466	1955.000457
467	1953.90481
468	1951.694507
469	1948.787084
470	1945.309921
471	1941.550388
472	1938.444602
473	1934.546531
474	1931.81336
475	1928.882875
476	1925.706681
477	1922.995942
478	1921.948826
479	1920.210138
480	1919.013336
481	1917.117764
482	1915.951499
483	1912.481023
484	1909.377877
485	1905.039758
486	1902.793187
487	1900.411082
488	1893.768773
489	1891.050773
490	1887.17342
491	1885.994342
492	1883.037506
493	1881.176479
494	1878.468143
495	1875.435676
496	1872.512967
497	1868.677514
498	1866.1065
499	1863.260743
500	1860.90296
501	1857.71218
502	1854.3562
503	1851.313456
504	1850.499673
505	1847.152115
506	1845.174316
507	1840.515636
508	1837.337018
509	1834.156266
510	1833.15299
511	1830.249475
512	1829.438528
513	1826.85055
514	1822.575933
515	1820.618329
516	1816.829745
517	1814.191505
518	1811.222144
519	1808.556333
520	1806.628437
521	1803.29923
522	1799.568505
523	1796.453635
524	1793.995661
525	1790.786238
526	1787.427763
527	1782.52414
528	1780.676076
529	1776.436176
530	1772.200553
531	1768.169823
532	1763.720581
533	1761.911906
534	1758.933439
535	1757.98939
536	1756.490681
537	1754.444701
538	1748.314519
539	1744.647762
540	1741.815928
541	1736.114383
542	1733.204715
543	1731.226563
544	1728.274061
545	1726.898446
546	1725.486308
547	1723.316762
548	1721.676451
549	1719.594357
550	1717.337801
551	1713.744319
552	1711.614677
553	1708.157376
554	1702.428477
555	1700.034588
556	1695.310599
557	1692.670859
558	1691.025469
559	1688.81911
560	1685.239035
561	1681.771831
562	1679.067216
563	1676.400337
564	1674.373678
565	1672.398533
566	1670.84843
567	1668.789244
568	1665.43418
569	1664.240697
570	1662.811664
571	1662.00819
572	1658.614434
573	1657.544535
574	1656.454092
575	1651.844173
576	1649.466338
577	1645.808747
578	1643.525023
579	1639.137075
580	1634.359556
581	1630.867121
582	1628.905582
583	1627.901571
584	1624.857024
585	1621.978708
586	1617.654868
587	1616.418946
588	1614.730273
589	1612.27379
590	1610.491041
591	1607.464787
592	1605.479763
593	1601.63754
594	1601.297478
595	1599.383362
596	1596.731353
597	1594.88629
598	1589.978104
599	1587.477246
600	1586.40594
601	1582.33354
602	1580.409997
603	1577.756898
604	1573.963558
605	1572.018341
606	1570.358138
607	1568.684232
608	1567.334119
609	1563.001961
610	1561.97659
611	1558.506895
612	1557.650648
613	1556.643854
614	1554.799151
615	1552.840698
616	1551.415099
617	1548.167225
618	1544.88174
619	1542.07439
620	1539.327184
621	1535.88863
622	1533.201005
623	1530.698239
624	1528.265969
625	1523.877971
626	1521.078263
627	1519.075313
628	1518.053783
629	1517.434201
630	1515.346704
631	1514.724439
632	1513.488782
633	1511.609702
634	1511.008712
635	1509.855511
636	1507.611462
637	1504.281122
638	1500.528033
639	1497.569991
640	1496.563273
641	1495.438732
642	1493.394913
643	1489.634204
644	1488.011427
645	1487.233023
646	1485.259065
647	1482.83661
648	1479.034692
649	1476.381588
650	1474.379267
651	1474.074656
652	1470.413059
653	1469.006551
654	1467.86316
655	1464.790401
656	1461.749792
657	1459.083712
658	1456.198405
659	1452.163198
660	1450.196497
661	1448.649213
662	1445.408251
663	1439.100466
664	1435.428557
665	1433.026857
666	1431.243151
667	1428.690346
668	1426.54685
669	1423.132514
670	1419.896641
671	1417.476626
672	1415.225541
673	1413.654539
674	1410.536372
675	1407.698729
676	1406.335666
677	1403.27858
678	1399.65564
679	1399.325458
680	1395.682052
681	1395.463149
682	1392.371122
683	1391.31011
684	1390.473024
685	1389.163484
686	1386.496305
687	1383.170716
688	1380.796851
689	1379.959551
690	1374.303638
691	1371.916064
692	1368.488326
693	1367.778596
694	1367.523361
695	1366.450237
696	1366.140582
697	1365.645456
698	1363.51809
699	1361.436904
700	1358.235905
701	1356.411739
702	1355.918406
703	1355.35665
704	1351.476978
705	1350.347865
706	1347.934599
707	1345.517861
708	1343.942254
709	1343.154913
710	1342.809439
711	1341.72415
712	1340.039152
713	1337.997038
714	1336.776059
715	1335.883994
716	1334.846043
717	1334.522885
718	1333.235555
719	1332.749444
720	1331.832637
721	1329.254512
722	1326.144203
723	1324.965809
724	1323.536765
725	1320.303804
726	1317.122745
727	1316.561098
728	1313.570268
729	1313.244118
730	1311.959862
731	1310.954831
732	1308.58055
733	1307.262712
734	1303.943387
735	1302.465402
736	1300.762524
737	1297.892642
738	1296.596254
739	1293.700079
740	1291.991791
741	1288.288019
742	1285.381598
743	1283.320011
744	1282.007739
745	1280.862803
746	1277.833627
747	1273.376425
748	1270.707624
749	1268.403257
750	1265.814981
751	1263.149769
752	1261.28378
753	1260.109508
754	1257.741537
755	1257.261282
756	1256.264432
757	1256.025118
758	1254.460512
759	1252.249847
760	1251.115547
761	1250.266424
762	1249.425257
763	1247.818436
764	1245.499467
765	1244.059557
766	1243.705779
767	1241.469191
768	1238.634617
769	1236.383462
770	1233.420532
771	1231.85552
772	1230.334629
773	1230.076309
774	1227.312345
775	1224.477257
776	1223.231683
777	1221.29665
778	1220.819261
779	1218.011613
780	1215.87812
781	1214.044131
782	1212.643132
783	1210.516286
784	1208.987688
785	1207.708822
786	1207.310883
787	1205.614288
788	1203.805775
789	1202.5076
790	1202.010005
791	1200.269155
792	1199.480973
793	1195.805777
794	1194.850453
795	1192.354023
796	1191.012662
797	1188.77927
798	1187.58938
799	1187.375444
800	1186.412753
801	1184.542767
802	1183.313531
803	1181.685331
804	1179.167303
805	1177.326851
806	1176.905971
807	1175.39892
808	1173.213462
809	1169.703159
810	1167.768562
811	1165.869739
812	1164.796353
813	1163.497351
814	1161.174405
815	1159.425514
816	1157.466427
817	1155.586201
818	1154.365672
819	1153.443489
820	1151.676049
821	1148.864993
822	1146.202339
823	1144.708875
824	1143.106924
825	1141.614655
826	1140.506121
827	1138.858164
828	1136.554184
829	1133.963394
830	1132.730515
831	1131.005549
832	1129.103123
833	1128.13487
834	1126.62117
835	1124.258543
836	1123.516174
837	1122.766842
838	1121.559096
839	1119.771283
840	1117.70941
841	1115.165333
842	1114.392568
843	1113.406484
844	1112.241087
845	1109.69349
846	1108.958477
847	1107.938565
848	1105.768291
849	1103.661494
850	1103.023281
851	1102.21298
852	1100.734937
853	1099.059106
854	1098.053242
855	1097.303338
856	1095.942826
857	1093.891828
858	1092.948811
859	1090.463855
860	1088.527926
861	1086.511035
862	1085.310199
863	1084.397348
864	1083.548571
865	1081.853504
866	1078.967578
867	1077.163372
868	1075.175178
869	1073.762159
870	1071.450838
871	1069.194964
872	1068.135035
873	1066.928664
874	1066.418237
875	1064.815645
876	1062.701789
877	1061.981796
878	1061.618433
879	1060.087424
880	1058.352455
881	1056.617692
882	1054.19108
883	1053.222914
884	1052.702412
885	1052.25102
886	1051.664833
887	1049.962182
888	1048.306873
889	1047.678912
890	1046.205518
891	1045.904119
892	1044.920323
893	1043.018055
894	1041.92558
895	1039.982887
896	1037.897163
897	1035.599937
898	1033.369742
899	1030.725869
900	1029.371639
901	1027.284462
902	1027.102352
903	1026.011668
904	1023.534949
905	1023.392955
906	1020.812646
907	1020.171734
908	1019.45756
909	1018.811441
910	1017.341133
911	1014.161749
912	1012.23102
913	1010.96092
914	1009.704297
915	1008.571876
916	1007.327036
917	1006.025128
918	1005.08348
919	1003.683115
920	1003.313823
921	1001.691758
922	999.8188895
923	999.4623862
924	998.2976903
925	996.8179775
926	995.9711891
927	994.7377804
928	992.7699284
929	991.5732868
930	990.7045351
931	988.2944113
932	987.1278615
933	985.9485732
934	984.8853164
935	984.1807295
936	983.8346489
937	981.9186844
938	981.0495944
939	979.7755169
940	977.6767609
941	976.7042313
942	975.8081363
943	975.1870025
944	973.6038736
945	971.534844
946	969.1839482
947	968.4200224
948	966.8610049
949	965.2374267
950	963.8008678
951	962.3878162
952	961.1692662
953	960.3631611
954	959.4915803
955	958.1013718
956	956.3080659
957	954.5851813
958	953.3697951
959	952.1716837
960	950.5268794
961	949.6430195
962	948.3538049
963	947.5515567
964	946.5509918
965	945.8975073
966	944.3972646
967	943.5517603
968	942.6233831
969	941.7010026
970	940.4230211
971	939.2281449
972	938.4041946
973	937.9815901
974	935.9576695
975	935.2914814
976	934.4455662
977	932.4531888
978	930.8975698
979	930.3279844
980	929.8434372
981	928.1286905
982	926.8210094
983	925.3402225
984	924.6258697
985	923.1669701
986	921.9364486
987	920.7603509
988	919.1784474
989	918.4785181
990	917.3920033
991	914.9953199
992	914.8057957
993	914.0605808
994	912.9621225
995	911.644333
996	911.019961
997	910.054805
998	908.4107997
999	906.2828203
